home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Norwich,Crystal Palace,1,1,False,False,2.54,2.92,2.26,2.35,1.25,1.34,1644435900
Manchester City,Brentford,2,0,True,False,0.09,0.11,10.07,11.5,28.52,34.0,1644435900
Aston Villa,Leeds,3,3,False,False,0.92,1.01,2.81,2.92,2.95,3.31,1644436800
Wolves,Arsenal,0,1,False,True,2.73,3.16,2.2,2.45,1.21,1.41,1644522300
Liverpool,Leicester,2,0,True,False,0.22,0.27,6.41,7.2,12.07,14.0,1644522300
Manchester Utd,Southampton,1,1,False,False,0.57,0.65,3.5,3.75,4.74,5.5,1644669000
Watford,Brighton,0,2,False,True,2.81,3.25,2.32,2.52,1.12,1.27,1644678000
Everton,Leeds,3,0,True,False,1.51,1.67,2.59,3.01,1.79,1.99,1644678000
Brentford,Crystal Palace,0,0,False,False,1.95,2.29,2.1,2.28,1.68,1.88,1644678000
Norwich,Manchester City,0,4,False,True,15.16,17.5,6.3,6.75,0.19,0.22,1644687000
Tottenham,Wolves,0,2,False,True,0.7,0.74,2.73,2.9,4.66,4.9,1644760800
Newcastle,Aston Villa,1,0,True,False,1.8,1.85,2.38,2.52,1.61,1.67,1644760800
Burnley,Liverpool,0,1,False,True,11.7,14.0,5.79,6.3,0.23,0.27,1644760800
Leicester,West Ham,2,2,False,False,1.89,2.02,2.47,2.62,1.48,1.57,1644769800
Manchester Utd,Brighton,2,0,True,False,0.81,0.9,2.65,2.89,3.75,4.1,1644956100
West Ham,Newcastle,1,1,False,False,0.65,0.72,3.08,3.41,4.4,4.8,1645273800
Southampton,Everton,2,0,True,False,1.07,1.17,2.57,2.93,2.65,2.97,1645282800
Liverpool,Norwich,3,1,True,False,0.13,0.15,8.37,9.1,21.73,26.59,1645282800
Crystal Palace,Chelsea,0,1,False,True,4.57,5.49,2.76,3.08,0.69,0.75,1645282800
Brighton,Burnley,0,3,False,True,0.63,0.72,2.79,2.95,5.28,6.1,1645282800
Aston Villa,Watford,0,1,False,True,0.65,0.68,2.96,3.12,4.64,5.35,1645282800
Arsenal,Brentford,2,1,True,False,0.53,0.61,3.0,3.58,6.32,7.0,1645282800
Manchester City,Tottenham,2,3,False,True,0.29,0.33,5.02,5.5,9.72,10.5,1645291800
Leeds,Manchester Utd,2,4,False,True,3.73,4.32,3.13,3.45,0.71,0.91,1645365600
Wolves,Leicester,2,1,True,False,1.22,1.33,2.26,2.52,2.61,2.85,1645374600
Watford,Crystal Palace,1,4,False,True,1.96,2.05,2.12,2.2,1.64,1.7,1645644600
